Date,peso_baseline,peso_garchx
2026-06-08,0.7392441232085039,0.8268927676322805
2026-06-09,0.7540167710269025,0.8416366739891643
2026-06-10,0.7671910863257352,0.8577239135656525
2026-06-11,0.7742781922057993,0.8645083355743804
2026-06-12,0.7608775483651595,0.8487842068354348
2026-06-15,0.7757660996734751,0.8672064167329541
2026-06-16,0.7880986170401301,0.8866721211993084
2026-06-17,0.7998768350730233,0.9037742916834881
2026-06-18,0.8061005129987303,0.9116691820839087
2026-06-19,0.8222836222576083,0.9306813640396091
2026-06-22,0.8396925888856608,0.9500562219254398
2026-06-23,0.8435740886495737,0.9465822068512604
2026-06-24,0.8589167237260285,0.961143486844189
2026-06-25,0.8702363784978756,0.9635951990058096
2026-06-26,0.8786484263898893,0.9634187084133553
2026-06-29,0.8896411252991278,0.9687478945272802
2026-06-30,0.9068751121308607,0.9940840945689303
2026-07-01,0.9101815461586462,1.0040527980655227
2026-07-02,0.9257901296376597,1.0142899548661162
2026-07-03,0.9389091783694414,1.0116584430901157
2026-07-06,0.9460081168808872,1.0097140184618754
2026-07-07,0.9307218792915473,1.006568395980512
2026-07-08,0.9453841903784715,1.032519190255812
2026-07-09,0.9423485199721174,1.0251032389846662
2026-07-10,0.9346882706946021,1.0032762217065745
2026-07-13,0.8109588485116708,0.8796259439928994
2026-07-14,0.8008657274850673,0.8696903826076525
2026-07-15,0.8161312849820215,0.8830148591479874
2026-07-16,0.8293173093206239,0.9098854837548345
2026-07-17,0.8156925947023825,0.9094194006390367
2026-07-20,0.8322632881719123,0.9261085807969598
2026-07-21,0.8476932891885848,0.9427933345370991
2026-07-22,0.8648048200279699,0.9483548836946223
2026-07-23,0.8003154015219306,0.8841900517776694
2026-07-24,0.8117406256926634,0.9061160660455133
2026-07-27,0.7879082879325157,0.8910755729433728
2026-07-28,0.8000706878656253,0.8920358255527981
2026-07-29,0.8128443208402285,0.9053536108384157
2026-07-30,0.7888561685831776,0.8842503529026791
2026-07-31,0.7669496205430899,0.8571667424877178
2026-08-03,0.7823470957897883,0.8691750231393625
2026-08-04,0.7989303280882307,0.8861012259023978
2026-08-05,0.815374224855069,0.9044753715642181
2026-08-06,0.8317100314280254,0.9247548300743074
2026-08-07,0.8185081219239696,0.9199081944452862
2026-08-10,0.7834807216362744,0.8947164212963956
2026-08-11,0.7987055426621532,0.9113477363318565
2026-08-12,0.725691333690438,0.8426269760469277
2026-08-13,0.740168645399021,0.8651133812140198
2026-08-14,0.754719373647419,0.8879651176379136
