Date,buy_and_hold,vol_target_baseline,vol_target_garchx
2026-06-08,0.9979292268916512,0.9985678335853636,0.9983531768278149
2026-06-09,1.004697696708654,1.0037675581355479,1.0041119973915829
2026-06-10,0.9976334021618872,0.9984413120754765,0.9981103577500582
2026-06-11,1.0146610736071093,1.0117213980439534,1.0128891171793126
2026-06-12,1.0125074695744267,1.010179033605456,1.0111223045187834
2026-06-15,1.0082594264550142,1.006976812404999,1.0074942068253125
2026-06-16,1.003727391595028,1.0034903842690126,1.0035220193437744
2026-06-17,0.9966571805536658,0.9979123897412024,0.9971699808916012
2026-06-18,0.9956158775048961,0.9971451341084232,0.996253488341887
2026-06-19,0.9973789928942903,0.998664177653114,0.9979215619034988
2026-06-22,1.0079931841982266,1.0076488810683781,1.008029979869535
2026-06-23,1.0132529478934325,1.012143992304026,1.0130293298365312
2026-06-24,1.0088037439577804,1.00838069710269,1.008768840620068
2026-06-25,1.0175779054425838,1.0160625888136725,1.017237180184299
2026-06-26,1.0252989308894271,1.0228831962726024,1.0246873465591622
2026-06-29,1.0247664463758517,1.0224532948826106,1.0241839251155855
2026-06-30,1.0177790662588233,1.016166936086128,1.0172441221366821
2026-07-01,1.015797040569404,1.0144003167813584,1.0152535501148
2026-07-02,1.022299268129619,1.0204402146241676,1.021839677404291
2026-07-03,1.031043847141446,1.0286592317563443,1.030677720947303
2026-07-06,1.020287659967223,1.0185283350607128,1.0198171172106199
2026-07-07,1.0177613167750375,1.0162077592137482,1.0172728187879019
2026-07-08,1.0096734686632867,1.008594302153125,1.0089134545369713
2026-07-09,1.0220271093782358,1.0202452907238473,1.021558098363109
2026-07-10,1.0523432276844618,1.0485572160044887,1.0519583151973233
2026-07-13,1.0397588436802965,1.0384634985711947,1.0409407152670305
2026-07-14,1.0450955218052411,1.0428103638832245,1.0456385610455114
2026-07-15,1.0413681302102133,1.0398475073140223,1.0423917822635282
2026-07-16,1.0284346730249265,1.029204369390618,1.0306477837570112
2026-07-17,1.02777794212485,1.02874003510685,1.0300845702935968
2026-07-20,1.0257485844786685,1.0271147703875052,1.0282297398959495
2026-07-21,1.0254823422218808,1.0269479558266659,1.02800037272321
2026-07-22,1.0504617824031623,1.0486336907424085,1.0517679987984736
2026-07-23,1.04558659085665,1.0448180015604023,1.0474981201069793
2026-07-24,1.029718552352103,1.032021146162118,1.0331307511933732
2026-07-27,1.037368579863803,1.03814494515493,1.0400126624346933
2026-07-28,1.0446458682160003,1.0440501631779733,1.046563285953551
2026-07-29,1.028789662700644,1.0312428034184018,1.032218934555117
2026-07-30,1.048160266005598,1.0466422281605186,1.049449689077561
2026-07-31,1.053130121465635,1.050540608374027,1.0537716282003338
2026-08-03,1.0531360379602304,1.050631722176278,1.053828924250571
2026-08-04,1.0525148060277258,1.0502164944726207,1.0533234933670979
2026-08-05,1.0515149184411232,1.049476340825525,1.0524564873668976
2026-08-06,1.038616960223408,1.038836588366536,1.0405483152553694
2026-08-07,1.0206722321159172,1.0242168990244458,1.0240416425477283
2026-08-10,1.0187020394156883,1.0227518201126051,1.0223138444814932
2026-08-11,0.9932315301829985,1.0024053887282947,0.9990533380046325
2026-08-12,0.9909595962584101,1.000845454621949,0.9971871997533444
2026-08-13,0.9886521633662502,0.9992189009623205,0.9952293460504668
2026-08-14,0.987664108768838,0.9985579407961541,0.9943883303554801
