Date,cond_vol_baseline,cond_vol_garchx
2025-08-15,0.010908600140451658,0.010908600140451658
2025-08-18,0.01074056667116314,0.01069421925718321
2025-08-19,0.010639061152439042,0.010406606093754147
2025-08-20,0.01133171633456801,0.010961124126724373
2025-08-21,0.011151216843607006,0.010722255886415968
2025-08-22,0.010983203821476746,0.010589129409923985
2025-08-25,0.011784116245169427,0.011482983372533277
2025-08-26,0.011592473280560114,0.011234408398057859
2025-08-27,0.011418949094028484,0.0110483675662084
2025-08-28,0.011377157988516361,0.011024581393048925
2025-08-29,0.011434395840630725,0.011168937630459414
2025-09-01,0.011254578850403636,0.01106840583517359
2025-09-02,0.011092567633866582,0.010829572387925533
2025-09-03,0.010994118330812954,0.01062375763435241
2025-09-04,0.01085565534484122,0.010487761309806212
2025-09-05,0.010770186132713513,0.010547125867967952
2025-09-08,0.010795900085934309,0.010694197557459437
2025-09-09,0.010715396103819313,0.010549676833578915
2025-09-10,0.01055930042967028,0.010365632007895847
2025-09-11,0.01042698524394585,0.01025818172900842
2025-09-12,0.010305723112112948,0.01017555392035676
2025-09-15,0.010246970058715953,0.010062573417175981
2025-09-16,0.010205808528745787,0.010138757047758296
2025-09-17,0.010064653870741139,0.01006924898520219
2025-09-18,0.01008339617351489,0.010090311295794145
2025-09-19,0.009939728498958323,0.010022803176219865
2025-09-22,0.009797862243676474,0.010027026830760299
2025-09-23,0.009732275663981363,0.009951173080707136
2025-09-24,0.009713628577969948,0.009986170659252407
2025-09-25,0.009574770552882262,0.009728637087932781
2025-09-26,0.009605705565275787,0.009728513325071488
2025-09-29,0.0094689468825475,0.00962321543010027
2025-09-30,0.009385659977300103,0.009519746270834935
2025-10-01,0.009261177854670191,0.009350135996142622
2025-10-02,0.009207771320510334,0.009204857285563755
2025-10-03,0.00936940915710445,0.00926441281125061
2025-10-06,0.00923978752061143,0.009115382814286123
2025-10-07,0.009168480539226496,0.00887635791838594
2025-10-08,0.009615117709460901,0.009211371076660403
2025-10-09,0.009517265180573714,0.009116547332813552
2025-10-10,0.009417502280338224,0.00887946014156155
2025-10-13,0.009425834050984771,0.008714344315248292
2025-10-14,0.0093838225353157,0.008613825292344288
2025-10-15,0.009259550034564985,0.008497025991729025
2025-10-16,0.009191009602540812,0.008440914674962368
2025-10-17,0.009097236963016335,0.008344354730734513
2025-10-20,0.009084203313564684,0.008419338262897275
2025-10-21,0.009052046084508025,0.008397059865887596
2025-10-22,0.008964234547537357,0.008322918218870698
2025-10-23,0.008884736345631437,0.008296843240548997
2025-10-24,0.008815143987013939,0.008282369080058269
2025-10-27,0.00870835840615151,0.008267172287567133
2025-10-28,0.008636809165639891,0.008364558802807138
2025-10-29,0.008535488490993014,0.008410534217193946
2025-10-30,0.008536883023072553,0.008559765508754976
2025-10-31,0.008429437328623342,0.008542308965465893
2025-11-03,0.008360717278917034,0.008572557372512297
2025-11-04,0.008314410004740886,0.008661161828539583
2025-11-05,0.008213990523698268,0.008675246770043638
2025-11-06,0.008680315200134322,0.009212527757298502
2025-11-07,0.00857021818471662,0.009253051020101974
2025-11-10,0.008490604833916483,0.00919241168298386
2025-11-11,0.008481235287623018,0.009316447072105943
2025-11-12,0.008851370909392751,0.009695002908834167
2025-11-13,0.008742280472804571,0.009584192458342971
2025-11-14,0.008665172010561545,0.009463245623569922
2025-11-17,0.008568421374936429,0.009358319976318957
2025-11-18,0.008534960599779824,0.009273650844242524
2025-11-19,0.008464761423403373,0.009066113453230298
2025-11-21,0.008515981772071338,0.008992986533927763
2025-11-24,0.008465276474285547,0.008711939841620685
2025-11-25,0.008370406255523497,0.008685171252244222
2025-11-26,0.008287446242424217,0.008744410535882732
2025-11-27,0.00873235416802317,0.009224211608168971
2025-11-28,0.00863585959253183,0.009097087820973956
2025-12-01,0.00855740078247044,0.009035506991402797
2025-12-02,0.008484646436417035,0.009045313347650834
2025-12-03,0.008829673296301147,0.009483132604743243
2025-12-04,0.00873333683737954,0.009522161634690392
2025-12-05,0.009123074075397846,0.00974938319009952
2025-12-08,0.012532476392719694,0.012759737541924238
2025-12-09,0.012347088419216707,0.012613768991123124
2025-12-10,0.012149813966432705,0.012378154059805158
2025-12-11,0.012000901854142085,0.012295999446398002
2025-12-12,0.011803415265942164,0.012186218353816582
2025-12-15,0.011733158720712004,0.012161735052574441
2025-12-16,0.011687536482818664,0.012074955742915432
2025-12-17,0.012502353510618453,0.012789491580000232
2025-12-18,0.012415342440456768,0.012720999242680688
2025-12-19,0.012218527938981438,0.012503120656225242
2025-12-22,0.012024272429225508,0.012318108782549984
2025-12-23,0.011842035099124126,0.012143630413346403
2025-12-26,0.011933501245058693,0.012277311754380373
2025-12-29,0.011741731827863831,0.012072179879227856
2025-12-30,0.011571671664172755,0.012003397225866443
2026-01-02,0.011397807153960564,0.011935168765647784
2026-01-05,0.011252335725165383,0.011703212479023681
2026-01-06,0.011159096443969271,0.011565939183115704
2026-01-07,0.011148231805155619,0.011514745312103891
2026-01-08,0.01119326526661045,0.011514237605494622
2026-01-09,0.011054838726311172,0.011454015683036048
2026-01-12,0.01088471475192593,0.011351274958122454
2026-01-13,0.010725168294032224,0.011116229516746557
2026-01-14,0.010681459419963214,0.011083793547450123
2026-01-15,0.011094973079538564,0.011557912884027794
2026-01-16,0.010923302008126667,0.011425785793221685
2026-01-19,0.01080956330348469,0.01127251050216134
2026-01-20,0.010642624210893133,0.011156102772276499
2026-01-21,0.010579165783664836,0.01121795255330748
2026-01-22,0.012081235218147317,0.012707392826246165
2026-01-23,0.012531289630617743,0.013202783899328979
2026-01-26,0.012768550685829374,0.013516692763612871
2026-01-27,0.012557450033844023,0.013361422523292215
2026-01-28,0.012757635199052484,0.013634905563256708
2026-01-29,0.012830819017655697,0.013718419331839453
2026-01-30,0.01274767534704834,0.0136513670155215
2026-02-02,0.012704736105346406,0.013640188138328187
2026-02-03,0.012557814500193578,0.013532399695026159
2026-02-04,0.012661981809560656,0.013522155356685717
2026-02-05,0.013197509224942559,0.013903347666032361
2026-02-06,0.012973042380725986,0.013654930522860782
2026-02-09,0.01276883207031281,0.013461011932563674
2026-02-10,0.012961854535340697,0.013686196925546807
2026-02-11,0.012752204896385913,0.013551289679617926
2026-02-12,0.013061159804806696,0.013849734876340208
2026-02-13,0.013023491522982893,0.013710440769667607
2026-02-18,0.012895390879487673,0.013489830820236479
2026-02-19,0.012694119783460649,0.013277880766119986
2026-02-20,0.012705456213170277,0.013378324358722351
2026-02-23,0.01262343543371561,0.0133943389115817
2026-02-24,0.01255877312541276,0.01334397909589413
2026-02-25,0.012591216436593309,0.013443710524420598
2026-02-26,0.012387596186480086,0.013161757540811976
2026-02-27,0.012189080146343059,0.012903637291229111
2026-03-02,0.012238386804675068,0.012943502435782052
2026-03-03,0.01203910318796531,0.012630788111031936
2026-03-04,0.01357883945199037,0.013942294311933057
2026-03-05,0.01351669872726179,0.01375741273509517
2026-03-06,0.014334530965044792,0.014427700127584635
2026-03-09,0.014149940834315821,0.01413107818626189
2026-03-10,0.013976359482789764,0.013985240030476614
2026-03-11,0.013952261484652112,0.013989689549158316
2026-03-12,0.01371203542792707,0.013635284750947343
2026-03-13,0.014440082061229004,0.014222862131295857
2026-03-16,0.014321745397354783,0.014011520310715585
2026-03-17,0.01423800917186774,0.013980469383324463
2026-03-18,0.013991643354612676,0.013681350996159398
2026-03-19,0.013785558310767903,0.013443828566283796
2026-03-20,0.013553090490636402,0.013208906847592001
2026-03-23,0.014091536039508816,0.013626072237608908
2026-03-24,0.015068840618226532,0.014724973606285554
2026-03-25,0.014803961317054864,0.014523139208600471
