Date,garch_cond_vol_daily
2021-08-17,0.01440066391806179
2021-08-18,0.014313254017353751
2021-08-19,0.014227686819952018
2021-08-20,0.01405136655121087
2021-08-23,0.013908410006536807
2021-08-24,0.013748038380379529
2021-08-25,0.014017534478175116
2021-08-26,0.013849225879277074
2021-08-27,0.013946038301879252
2021-08-30,0.01398235261310226
2021-08-31,0.01385471742338509
2021-09-01,0.013733212400583812
2021-09-02,0.01357101712961012
2021-09-03,0.01388029928594134
2021-09-06,0.013698162044715216
2021-09-08,0.01356770396202184
2021-09-09,0.014699377779630042
2021-09-10,0.014731229495288567
2021-09-13,0.014611741440285755
2021-09-14,0.014684583857428655
2021-09-15,0.014490968523137143
2021-09-16,0.014381823344791728
2021-09-17,0.014301126110841278
2021-09-20,0.014494954123270641
2021-09-21,0.014779553076915142
2021-09-22,0.01470841200550507
2021-09-23,0.014775012271907258
2021-09-24,0.014770718424107505
2021-09-27,0.014615164039512591
2021-09-28,0.014422473499697068
2021-09-29,0.015043142274790491
2021-09-30,0.014898238210592843
2021-10-01,0.01469866727537452
2021-10-04,0.01473415602721527
2021-10-05,0.014965385618435897
2021-10-06,0.014762788901213377
2021-10-07,0.014563668095662976
2021-10-08,0.014367559197815651
2021-10-11,0.014504605383298723
2021-10-13,0.014342003609491581
2021-10-14,0.014251490033917376
2021-10-15,0.014067123204045441
2021-10-18,0.014014150110208156
2021-10-19,0.013831655431677447
2021-10-20,0.014627130339490996
2021-10-21,0.01443030231728812
2021-10-22,0.014905208087797123
2021-10-25,0.014861011458480598
2021-10-26,0.015059876796758307
2021-10-27,0.015237074927357193
2021-10-28,0.01503076525783933
2021-10-29,0.014862720899968313
2021-11-01,0.015038758513252294
2021-11-03,0.015134578064150563
2021-11-04,0.014929266192727502
2021-11-05,0.015103542510189043
2021-11-08,0.015039498751030389
2021-11-09,0.014836202525129271
2021-11-10,0.014673759222377156
2021-11-11,0.014487346899629805
2021-11-12,0.014509908868982681
2021-11-16,0.014470733758406714
2021-11-17,0.014534682905144617
2021-11-18,0.01454021555941331
2021-11-19,0.014361535497311527
2021-11-22,0.014186661312423576
2021-11-23,0.014071437143371729
2021-11-24,0.014068285983389517
2021-11-25,0.013933151980366964
2021-11-26,0.013872765210003881
2021-11-29,0.014728557592353612
2021-11-30,0.014553791447573121
2021-12-01,0.014428893800779847
2021-12-02,0.01435017968806336
2021-12-03,0.015205408409812946
2021-12-06,0.015022285030474859
2021-12-07,0.01504012828483698
2021-12-08,0.014867021946759137
2021-12-09,0.014683484821126318
2021-12-10,0.01473242402354193
2021-12-13,0.014681067673408045
2021-12-14,0.014495650437973134
2021-12-15,0.014333365768591715
2021-12-16,0.014165140229342081
2021-12-17,0.014023268910795257
2021-12-20,0.01391966903876633
2021-12-21,0.014116955973247091
2021-12-22,0.013943232972592702
2021-12-23,0.01376422649405938
2021-12-27,0.01359370658867214
2021-12-28,0.01344270075407446
2021-12-29,0.013306331155614637
2021-12-30,0.013184616226281858
2022-01-03,0.013049861345345722
2022-01-04,0.012954976917725283
2022-01-05,0.012802967952506026
2022-01-06,0.013219481750458775
2022-01-07,0.013069412688308
2022-01-10,0.013010127627459176
2022-01-11,0.012899203381462379
2022-01-12,0.013017405798975413
2022-01-13,0.013143456970499116
