Date,realized_vol,forecast_baseline,forecast_garchx
2026-06-08,0.19901719558697312,0.2029099661272417,0.18140199778202082
2026-06-09,0.19404394917368473,0.19893456719233657,0.17822417277640062
2026-06-10,0.18287071359293894,0.19551843429045362,0.1748814480133048
2026-06-11,0.1499266744426973,0.19372881931838104,0.17350902683933037
2026-06-12,0.1403284371510063,0.1971407887146805,0.17672336359703558
2026-06-15,0.14271096136302905,0.19335725041753687,0.1729691998418304
2026-06-16,0.13815356919131547,0.19033151024088396,0.16917189163127258
2026-06-17,0.1381864967963821,0.187528871224663,0.16597064264860908
2026-06-18,0.0686647887667357,0.18608101295208612,0.1645333668701266
2026-06-19,0.06815494577821847,0.18241881017667574,0.16117223981892917
2026-06-22,0.09696401957954777,0.17863680349860178,0.1578853930307421
2026-06-23,0.09871323211361728,0.17781484995600783,0.1584648421598421
2026-06-24,0.09056437267371573,0.1746385835279719,0.15606410702787865
2026-06-25,0.10920895472733495,0.17236696109959987,0.15566702714455474
2026-06-26,0.1210314277154768,0.17071674573675202,0.15569554409736708
2026-06-29,0.09494401545126127,0.16860731336983198,0.15483904620323896
2026-06-30,0.10004236571808865,0.16540314977610193,0.15089266674671548
2026-07-01,0.09604133746963149,0.16480228656916182,0.14939453412111428
2026-07-02,0.08658020510806842,0.16202376240358896,0.14788670565094933
2026-07-03,0.0909544885413239,0.15975986118326993,0.14827138647884386
2026-07-06,0.11748234040923175,0.15856100737757903,0.14855691538134635
2026-07-07,0.10840939567314507,0.16116522383053672,0.14902116994631343
2026-07-08,0.12152913997373027,0.15866565310336908,0.14527575023844033
2026-07-09,0.14202489772822707,0.15917677676666617,0.14632672524629858
2026-07-10,0.24409004114255972,0.16048131200847243,0.14951017153067753
2026-07-13,0.24765202885841198,0.18496622889717604,0.1705270302955171
2026-07-14,0.24968518591020689,0.1872973144587422,0.17247517392367231
2026-07-15,0.2444950853985691,0.18379395908503168,0.1698725660684052
2026-07-16,0.24534859500175554,0.18087166192501142,0.16485591063723024
2026-07-17,0.1309627737647488,0.18389280591020898,0.16494040031980517
2026-07-20,0.1002674884654062,0.18023142691957356,0.16196804900664885
2026-07-21,0.09346671012763635,0.17695079330353147,0.1591016763749696
2026-07-22,0.19309274460871417,0.1734495420540656,0.1581686376893285
2026-07-23,0.17465292108500777,0.18742610690079245,0.16964678543761502
2026-07-24,0.20559600647314996,0.1847880902498924,0.16554170665423965
2026-07-27,0.2117405662842016,0.19037748719917957,0.168335890416707
2026-07-28,0.21747109842549442,0.18748343399526346,0.16815468135155268
2026-07-29,0.1728924522921333,0.1845371815416593,0.16568111973518318
2026-07-30,0.2152625504087577,0.19014873176362043,0.16963521643797302
2026-07-31,0.18888901960469068,0.19557999115219912,0.17499512354464605
2026-08-03,0.18143271803684743,0.19173075583360258,0.172577439533659
2026-08-04,0.17456337379380013,0.18775104001739007,0.1692808853156041
2026-08-05,0.1368488174858484,0.18396460843076337,0.1658419949462935
2026-08-06,0.09416950413606646,0.18035131756491352,0.16220515440611102
2026-08-07,0.15182005022330725,0.18326024627270998,0.16305974977258628
2026-08-10,0.1524384480408454,0.191453338745502,0.16765088516276266
2026-08-11,0.2356554700882613,0.18780388013840155,0.16459140020882135
2026-08-12,0.23611921248011145,0.20669945062894507,0.1780147138223666
2026-08-13,0.2198842875242433,0.20265651744696073,0.1733876775660364
2026-08-14,0.18190745179971668,0.1987493699480348,0.1689255546423003
